ABBREV.	DEGREE	GENERAL_ACADEMIC_AREA	US_UNIVERSITY	US_CITY	GENDER	COLOMBIAN_CITY	PREVIOUS_DEGREE	FIELD _OF_STUDY	COLOMBIAN_UNIVERSITY
CLC-DNP	MASTER'S	ENGINEERING & APPLIED SCIENCES	Purdue University	WEST LAFAYETTE	MALE	CALI	BACHELOR	INGENIERIA MECANICA	ESCUELA MILITAR DE AVIACION MARCO FIDEL SUAREZ
LID	MASTER'S	LAW	American University		MALE	QUIBDO	BACHELOR	LAW (LL.B., J.D.)	UNIVERSIDAD TECNOLOGICA DEL CHOCO-DIEGO LUIS CORDOBA
CLC-DNP	Ph.D.	EDUCATION	University of Arizona	TUCSON	MALE	TUNJA	BACHELOR	FILOLOGIA E IDIOMAS INGLES	UNIVERSIDAD NACIONAL DE COLOMBIA
EST. CUL	MASTER'S	ART & ARCHITECTURE	University of Arkansas, Fayetteville	FAYETTEVILLE	MALE	BOGOTA D.C.	BACHELOR	GRAPHIC DESIGN	UNIVERSIDAD NACIONAL DE COLOMBIA
REG	MASTER'S	HUMANITIES & SOCIAL SCIENCES	SUNY Stony Brook	MANHATTAN	MALE	BARRANQUILLA	BACHELOR	FILOSOFIA	UNIVERSIDAD DEL ATLANTICO
CALDAS	Ph.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	SUNY at Buffalo	BUFFALO	FEMALE	CARTAGENA	BACHELOR	CHEMISTRY, GENERAL	UNIVERSIDAD DE CARTAGENA
CALDAS	Ph.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	University of California - Davis		MALE	VILLAVICENCIO	BACHELOR	VETERINARY MEDICINE (DVM)	UNIVERSIDAD DE LOS LLANOS
CLC-DNP	Ph.D.	ENGINEERING & APPLIED SCIENCES	Ohio State University	COLUMBUS	MALE	BOGOTA D.C.	BACHELOR	INGENIERIA ELECTRONICA	UNIVERSIDAD NACIONAL DE COLOMBIA
CLC-DNP	Ph.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	Michigan State University	EAST LANSING	MALE	CHINCHINA	BACHELOR	INGENERIA AGRONOMICA	UNIVERSIDAD DE CALDAS
SRM	MASTER'S	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	Purdue University	WEST LAFAYETTE	MALE	MEDELLIN	BACHELOR	AGRICULTURE AND LIFE SCIENCES	ESCUELA AGRICOLA PANAMERICANA, ZAMORANO
CLC-DNP	Ph.D.	EDUCATION	Purdue University	WEST LAFAYETTE	FEMALE	BOGOTA D.C.	BACHELOR	INGENIERIA ELECTRONICA	UNIVERSIDAD DE LOS ANDES
REG	Ph.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	Pennsylvania State University	UNIVERSITY PARK	FEMALE	CHINCHINA	BACHELOR	AGRONOMIA	UNIVERSIDAD DE CALDAS
CLC-DNP	Ph.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	University of Iowa	IOWA CITY	FEMALE	BOGOTA D.C.	BACHELOR	ODONTOLOGIA	UNIVERSIDAD NACIONAL DE COLOMBIA
LID	Ph.D.	HUMANITIES & SOCIAL SCIENCES	University of Florida	GAINESVILLE	FEMALE	BOGOTA D.C.	BACHELOR	ZOOTECNIA	UNIVERSIDAD NACIONAL DE COLOMBIA
SRM	MASTER'S	ENGINEERING & APPLIED SCIENCES	Purdue University	WEST LAFAYETTE	MALE	BARRANQUILLA	BACHELOR	INGENIERIA MECANICA	UNIVERSIDAD DEL NORTE
CALDAS	Ph.D.	ENGINEERING & APPLIED SCIENCES	University of California - Davis	DAVIS	MALE	BOGOTA D.C.	BACHELOR	CIVIL ENGINEERING, GENERAL	ESCUELA COLOMBIANA DE INGENIERIA JULIO GARAVITO
CALDAS	Ph.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	Pennsylvania State University	STATE COLLEGE	FEMALE	BOGOTA D.C.	BACHELOR	BIOLOGY/BIOLOGICAL SCIENCES, GENERAL	UNIVERSIDAD NACIONAL DE COLOMBIA
DU	Ph.D.	ENGINEERING & APPLIED SCIENCES	Purdue University	WEST LAFAYETTE	MALE	CALI	BACHELOR	MECHANICAL ENGINEERING	UNIVERSIDAD DEL VALLE
CALDAS	Ph.D.	HUMANITIES & SOCIAL SCIENCES	SUNY College of Environmental Science and Forestry	SYRACUSE	FEMALE	CALI	BACHELOR	SOCIOLOGY	UNIVERSIDAD DEL VALLE
CALDAS	Ph.D.	ENGINEERING & APPLIED SCIENCES	University of Southern California	LOS ANGELES	MALE	BOGOTA D.C.	BACHELOR	ELECTROMECHANICAL TECHNOLOGY/ELECTROMECHANICAL ENGINEERING TECHNOLOGY	UNIVERSIDAD MILITAR-NUEVA GRANADA
CALDAS	Ph.D.	HUMANITIES & SOCIAL SCIENCES	University of Oklahoma	NORMAN	FEMALE	MANIZALES	BACHELOR	PHILOSOPHY	UNIVERSIDAD DE CALDAS
CALDAS	Ph.D.	ENGINEERING & APPLIED SCIENCES	Texas A&M University	COLLEGE STATION	MALE	MEDELLIN	BACHELOR	AGRICULTURAL/BIOLOGICAL ENGINEERING AND BIOENGINEERING	UNIVERSIDAD NACIONAL DE COLOMBIA
REG	Ph.D.	HUMANITIES & SOCIAL SCIENCES	University of Arkansas, Fayetteville	FAYETTEVILLE	MALE	BARRANQUILLA	BACHELOR	ECONOMIA	UNIVERSIDAD NACIONAL DE COLOMBIA
REG	Ph.D.	ENGINEERING & APPLIED SCIENCES	University of North Dakota	GRAND FORKS	MALE	VILLAVICENCIO	BACHELOR	INGENIERIA ELECTRONICA	UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS
